N,Iteration,Molecule,LowestRMSD
1,6,mol56,3.7822047881603833
1,6,mol57,2.4927549458881835
1,6,mol58,2.5927722090457537
1,6,mol59,2.3971307641173394
1,6,mol60,3.1674783616969164
1,6,mol61,6.2553762211435995
1,6,mol62,1.6542500498317723
1,6,mol63,5.2929118978342435
1,6,mol64,0.6396315755964523
1,6,mol65,3.717498059495518
1,6,mol66,2.2601840902015042
1,6,mol67,5.657499051933777
1,6,mol68,2.268814320678157
1,6,mol69,3.7458300957125568
1,6,mol70,5.259015595174226
1,6,mol71,6.066223952203357
1,6,mol72,5.4620425345184636
1,6,mol73,1.9984640546711119
1,6,mol74,0.6929280654032782
1,6,mol75,2.9122349922772197
1,6,mol76,1.715205776682097
1,6,mol77,2.500949519076644
1,6,mol79,3.7470174090868595
1,6,mol80,6.043941504798715
1,6,mol81,0.8877824728743282
1,6,mol82,3.802006948194288
1,6,mol83,1.2951594908898694
1,6,mol84,0.7771165898922209
1,6,mol85,0.9797823973599804
1,6,mol86,6.138402085803763
1,6,mol87,1.008050445949481
1,6,mol88,4.405164885582225
1,6,mol89,1.009374506811025
1,6,mol90,6.578268262620489
1,6,mol91,6.278192556100091
1,6,mol92,3.433030426066203
1,6,mol93,0.5352249381101369
1,6,mol94,4.971142309899988
1,6,mol95,5.836032104685775
1,6,mol96,4.242730791172548
1,7,mol0,1.757405576341471
1,7,mol1,4.9476793804435895
1,7,mol2,5.416418675432666
1,7,mol3,2.5478173374946045
1,7,mol4,2.997400026254639
1,7,mol5,4.48915250669735
1,7,mol6,5.246049463035124
1,7,mol7,0.9927942732245022
1,7,mol8,1.8335234681230277
1,7,mol9,2.668887902051018
1,7,mol10,3.2787556590235494
1,7,mol11,3.436529183170967
1,7,mol12,3.570985865100841
1,7,mol13,1.606021321546871
1,7,mol14,1.3748761444954605
1,7,mol15,1.6880167239287525
1,7,mol16,2.894973166024169
1,7,mol17,1.260757047174435
1,7,mol18,3.8728052294170436
1,7,mol19,10.01082132915971
1,7,mol20,6.0733297281661764
1,7,mol21,0.6453295131724788
1,7,mol22,2.8044141066658943
1,7,mol23,1.5092671277719436
1,7,mol24,3.3264289255659896
1,7,mol25,2.5100800624183286
1,7,mol26,4.081247152843429
1,7,mol27,4.019253290848936
1,7,mol28,1.156937809644328
1,7,mol29,0.9598393894760432
1,7,mol30,2.703172227312352
1,7,mol31,6.384310781431497
1,7,mol32,6.858712554538897
1,7,mol33,4.318860336385052
1,7,mol34,4.276611112985876
1,7,mol35,4.925544154710218
1,7,mol36,2.3994513814620206
1,7,mol37,5.01844461478521
1,7,mol38,6.202715551675734
1,7,mol39,1.5555164550720768
1,7,mol40,1.5335106793610163
1,7,mol41,0.9044011810672241
1,7,mol42,5.6147946514918115
1,7,mol43,6.2326153150851
1,7,mol44,5.5337217032588155
1,7,mol45,5.619538853322397
1,7,mol46,1.9156128616684203
1,7,mol47,0.5742531228394926
1,7,mol48,1.7889364627115878
1,7,mol49,4.140618700657037
1,7,mol50,3.5668134906129
1,7,mol51,6.693383442962445
1,7,mol52,6.46389339307201
1,7,mol53,1.7088445158405086
1,7,mol54,1.9963506417961754
1,7,mol55,0.8843051714066082
1,7,mol56,2.1921275722267324
1,7,mol57,2.397243010261997
1,7,mol58,1.1385883525539107
1,7,mol59,3.3303980142936536
1,7,mol60,3.3122973967543214
1,7,mol61,2.321852239946879
1,7,mol62,5.230676504098329
1,7,mol63,0.9920567728654623
1,7,mol64,0.6396315755964523
1,7,mol65,4.511666623583012
1,7,mol66,5.262636346319209
1,7,mol67,2.34469224139163
1,7,mol68,2.2733110123467806
1,7,mol69,3.751720990029379
1,7,mol70,2.710530858179419
1,7,mol71,2.1224381770568894
1,7,mol72,1.6603105228306607
1,7,mol73,0.7955995712747086
1,7,mol74,3.597634413668483
1,7,mol75,4.816595911748584
1,7,mol76,3.755300862982239
1,7,mol77,2.652065261549035
1,7,mol79,3.078716907089705
1,7,mol80,6.043941504798715
1,7,mol81,0.8877824728743282
1,7,mol82,4.045582683837361
1,7,mol83,1.2641965251536356
1,7,mol84,1.7367404773639283
1,7,mol85,0.89257595112652
1,7,mol86,1.3263358368075562
1,7,mol87,1.008050445949481
1,7,mol88,2.3877999397981404
1,7,mol89,1.009303207663584
1,7,mol90,6.528209230152406
1,7,mol91,0.682158042538531
1,7,mol92,3.8922115177478336
1,7,mol93,0.6230877371004825
1,7,mol94,4.046357835380411
1,7,mol95,5.825728740483229
1,7,mol96,4.23828019827511
1,8,mol0,1.7589905028238184
