docked_file,ligand_RMSD_A
rec_12_mol45.pdb,5.619561203002038
rec_12_mol46.pdb,2.186081070630369
rec_12_mol47.pdb,5.951978858609407
rec_12_mol48.pdb,1.7889545630259671
rec_12_mol49.pdb,3.699021065924584
rec_12_mol5.pdb,1.1003025097232242
rec_12_mol50.pdb,3.2710250895344166
rec_12_mol51.pdb,2.2822365075054067
rec_12_mol52.pdb,0.7324543330474605
rec_12_mol54.pdb,1.2991969250271493
rec_12_mol55.pdb,5.3206462179391885
rec_12_mol56.pdb,1.3127604662186727
rec_12_mol57.pdb,2.49275473121605
rec_12_mol58.pdb,1.156486452270719
rec_12_mol59.pdb,1.1855504464640514
rec_12_mol6.pdb,3.0535707467742665
rec_12_mol60.pdb,3.1617088446252946
rec_12_mol61.pdb,1.4002488454800786
rec_12_mol62.pdb,1.221872667584259
