mol_id,ligand,receptor,score
mol10,rec_18_mol10.sdf,rec_final_18-noH.pdb,19.0267
mol10,rec_5_mol10.sdf,rec_final_5-noH.pdb,18.7915
mol10,rec_1_mol10.sdf,rec_final_1-noH.pdb,18.6592
mol10,rec_12_mol10.sdf,rec_final_12-noH.pdb,17.0475
mol11,rec_11_mol11.sdf,rec_final_11-noH.pdb,22.6895
mol11,rec_5_mol11.sdf,rec_final_5-noH.pdb,21.5337
mol11,rec_7_mol11.sdf,rec_final_7-noH.pdb,20.8985
mol11,rec_13_mol11.sdf,rec_final_13-noH.pdb,20.7704
mol11,rec_16_mol11.sdf,rec_final_16-noH.pdb,20.4454
mol11,rec_9_mol11.sdf,rec_final_9-noH.pdb,19.9418
mol11,rec_3_mol11.sdf,rec_final_3-noH.pdb,19.8175
mol11,rec_1_mol11.sdf,rec_final_1-noH.pdb,19.4219
mol11,rec_15_mol11.sdf,rec_final_15-noH.pdb,19.2373
mol11,rec_20_mol11.sdf,rec_final_20-noH.pdb,19.1587
mol11,rec_12_mol11.sdf,rec_final_12-noH.pdb,18.9748
mol11,rec_19_mol11.sdf,rec_final_19-noH.pdb,18.7917
mol11,rec_14_mol11.sdf,rec_final_14-noH.pdb,18.5775
mol11,rec_2_mol11.sdf,rec_final_2-noH.pdb,18.4587
mol11,rec_8_mol11.sdf,rec_final_8-noH.pdb,18.2958
mol11,rec_4_mol11.sdf,rec_final_4-noH.pdb,18.2399
mol11,rec_17_mol11.sdf,rec_final_17-noH.pdb,18.1433
mol11,rec_18_mol11.sdf,rec_final_18-noH.pdb,17.7496
mol11,rec_10_mol11.sdf,rec_final_10-noH.pdb,16.6848
mol11,rec_6_mol11.sdf,rec_final_6-noH.pdb,16.1267
mol12,rec_3_mol12.sdf,rec_final_3-noH.pdb,28.4236
mol12,rec_17_mol12.sdf,rec_final_17-noH.pdb,26.9773
mol12,rec_6_mol12.sdf,rec_final_6-noH.pdb,25.5595
mol12,rec_20_mol12.sdf,rec_final_20-noH.pdb,25.2053
