mol_id,ligand,receptor,score
mol3,rec_15_mol3.sdf,rec_final_15-noH.pdb,25.9097
mol3,rec_2_mol3.sdf,rec_final_2-noH.pdb,25.5202
mol3,rec_19_mol3.sdf,rec_final_19-noH.pdb,25.2428
mol3,rec_14_mol3.sdf,rec_final_14-noH.pdb,24.7425
mol3,rec_11_mol3.sdf,rec_final_11-noH.pdb,24.4979
mol3,rec_4_mol3.sdf,rec_final_4-noH.pdb,24.2023
mol3,rec_6_mol3.sdf,rec_final_6-noH.pdb,23.6811
mol3,rec_12_mol3.sdf,rec_final_12-noH.pdb,23.5959
mol3,rec_18_mol3.sdf,rec_final_18-noH.pdb,23.2240
mol3,rec_13_mol3.sdf,rec_final_13-noH.pdb,22.2551
mol3,rec_7_mol3.sdf,rec_final_7-noH.pdb,20.7405
mol3,rec_1_mol3.sdf,rec_final_1-noH.pdb,20.6517
mol4,rec_16_mol4.sdf,rec_final_16-noH.pdb,18.2596
mol4,rec_2_mol4.sdf,rec_final_2-noH.pdb,17.9704
mol4,rec_12_mol4.sdf,rec_final_12-noH.pdb,17.6256
mol4,rec_11_mol4.sdf,rec_final_11-noH.pdb,17.6136
mol4,rec_5_mol4.sdf,rec_final_5-noH.pdb,17.2028
mol4,rec_4_mol4.sdf,rec_final_4-noH.pdb,16.9939
mol4,rec_18_mol4.sdf,rec_final_18-noH.pdb,16.9492
mol4,rec_13_mol4.sdf,rec_final_13-noH.pdb,16.6209
mol4,rec_20_mol4.sdf,rec_final_20-noH.pdb,16.1791
mol4,rec_19_mol4.sdf,rec_final_19-noH.pdb,15.6988
mol4,rec_7_mol4.sdf,rec_final_7-noH.pdb,15.6035
mol4,rec_9_mol4.sdf,rec_final_9-noH.pdb,15.1978
mol4,rec_14_mol4.sdf,rec_final_14-noH.pdb,14.5057
mol4,rec_6_mol4.sdf,rec_final_6-noH.pdb,13.7253
mol4,rec_15_mol4.sdf,rec_final_15-noH.pdb,12.7326
mol5,rec_14_mol5.sdf,rec_final_14-noH.pdb,25.1721
mol5,rec_2_mol5.sdf,rec_final_2-noH.pdb,20.3468
mol5,rec_18_mol5.sdf,rec_final_18-noH.pdb,20.2611
mol5,rec_12_mol5.sdf,rec_final_12-noH.pdb,20.1488
mol5,rec_15_mol5.sdf,rec_final_15-noH.pdb,19.3341
mol5,rec_19_mol5.sdf,rec_final_19-noH.pdb,19.3236
mol5,rec_6_mol5.sdf,rec_final_6-noH.pdb,19.0289
mol5,rec_4_mol5.sdf,rec_final_4-noH.pdb,18.7032
mol5,rec_5_mol5.sdf,rec_final_5-noH.pdb,18.3970
mol5,rec_9_mol5.sdf,rec_final_9-noH.pdb,17.5132
mol5,rec_7_mol5.sdf,rec_final_7-noH.pdb,17.3959
mol5,rec_16_mol5.sdf,rec_final_16-noH.pdb,17.3313
