mol_id,ligand,receptor,score
mol6,rec_5_mol6.sdf,rec_final_5-noH.pdb,14.3075
mol6,rec_19_mol6.sdf,rec_final_19-noH.pdb,14.0735
mol6,rec_8_mol6.sdf,rec_final_8-noH.pdb,13.8592
mol6,rec_15_mol6.sdf,rec_final_15-noH.pdb,12.6959
mol7,rec_19_mol7.sdf,rec_final_19-noH.pdb,18.2852
mol7,rec_20_mol7.sdf,rec_final_20-noH.pdb,18.1092
mol7,rec_17_mol7.sdf,rec_final_17-noH.pdb,17.5250
mol7,rec_18_mol7.sdf,rec_final_18-noH.pdb,17.4810
mol7,rec_7_mol7.sdf,rec_final_7-noH.pdb,17.3826
mol7,rec_14_mol7.sdf,rec_final_14-noH.pdb,17.3710
mol7,rec_11_mol7.sdf,rec_final_11-noH.pdb,16.6586
mol7,rec_4_mol7.sdf,rec_final_4-noH.pdb,16.6214
mol7,rec_13_mol7.sdf,rec_final_13-noH.pdb,16.5686
mol7,rec_8_mol7.sdf,rec_final_8-noH.pdb,16.5051
mol7,rec_16_mol7.sdf,rec_final_16-noH.pdb,16.4436
mol7,rec_6_mol7.sdf,rec_final_6-noH.pdb,16.4304
mol7,rec_2_mol7.sdf,rec_final_2-noH.pdb,16.2811
mol7,rec_10_mol7.sdf,rec_final_10-noH.pdb,16.2527
mol7,rec_9_mol7.sdf,rec_final_9-noH.pdb,16.2251
mol7,rec_15_mol7.sdf,rec_final_15-noH.pdb,15.9855
mol7,rec_3_mol7.sdf,rec_final_3-noH.pdb,15.8509
mol7,rec_12_mol7.sdf,rec_final_12-noH.pdb,15.7810
mol7,rec_5_mol7.sdf,rec_final_5-noH.pdb,15.4645
mol7,rec_1_mol7.sdf,rec_final_1-noH.pdb,15.0787
mol8,rec_20_mol8.sdf,rec_final_20-noH.pdb,24.5419
mol8,rec_9_mol8.sdf,rec_final_9-noH.pdb,23.0770
mol8,rec_8_mol8.sdf,rec_final_8-noH.pdb,23.0097
mol8,rec_2_mol8.sdf,rec_final_2-noH.pdb,22.7462
mol8,rec_13_mol8.sdf,rec_final_13-noH.pdb,22.3601
mol8,rec_3_mol8.sdf,rec_final_3-noH.pdb,21.7060
mol8,rec_7_mol8.sdf,rec_final_7-noH.pdb,21.3661
mol8,rec_6_mol8.sdf,rec_final_6-noH.pdb,21.1222
mol8,rec_17_mol8.sdf,rec_final_17-noH.pdb,20.7620
mol8,rec_5_mol8.sdf,rec_final_5-noH.pdb,20.6624
mol8,rec_19_mol8.sdf,rec_final_19-noH.pdb,20.6515
mol8,rec_18_mol8.sdf,rec_final_18-noH.pdb,20.6412
mol8,rec_11_mol8.sdf,rec_final_11-noH.pdb,19.7160
mol8,rec_14_mol8.sdf,rec_final_14-noH.pdb,19.5438
mol8,rec_16_mol8.sdf,rec_final_16-noH.pdb,19.2057
mol8,rec_12_mol8.sdf,rec_final_12-noH.pdb,19.0687
mol8,rec_1_mol8.sdf,rec_final_1-noH.pdb,18.9514
mol8,rec_15_mol8.sdf,rec_final_15-noH.pdb,18.2349
mol8,rec_4_mol8.sdf,rec_final_4-noH.pdb,17.0583
mol8,rec_10_mol8.sdf,rec_final_10-noH.pdb,16.8025
mol9,rec_6_mol9.sdf,rec_final_6-noH.pdb,18.0066
mol9,rec_20_mol9.sdf,rec_final_20-noH.pdb,16.7727
mol9,rec_7_mol9.sdf,rec_final_7-noH.pdb,16.5591
mol9,rec_14_mol9.sdf,rec_final_14-noH.pdb,16.3259
mol9,rec_19_mol9.sdf,rec_final_19-noH.pdb,16.2456
mol9,rec_2_mol9.sdf,rec_final_2-noH.pdb,16.1478
mol9,rec_13_mol9.sdf,rec_final_13-noH.pdb,15.9048
mol9,rec_9_mol9.sdf,rec_final_9-noH.pdb,15.7874
mol9,rec_16_mol9.sdf,rec_final_16-noH.pdb,15.4095
mol9,rec_8_mol9.sdf,rec_final_8-noH.pdb,15.3827
mol9,rec_3_mol9.sdf,rec_final_3-noH.pdb,14.9619
mol9,rec_15_mol9.sdf,rec_final_15-noH.pdb,14.2937
mol9,rec_10_mol9.sdf,rec_final_10-noH.pdb,13.8999
mol9,rec_4_mol9.sdf,rec_final_4-noH.pdb,13.5112
mol9,rec_12_mol9.sdf,rec_final_12-noH.pdb,13.1929
mol9,rec_17_mol9.sdf,rec_final_17-noH.pdb,12.4673
mol9,rec_1_mol9.sdf,rec_final_1-noH.pdb,11.7922
mol9,rec_11_mol9.sdf,rec_final_11-noH.pdb,11.6404
mol9,rec_5_mol9.sdf,rec_final_5-noH.pdb,11.5214
mol9,rec_18_mol9.sdf,rec_final_18-noH.pdb,10.4184
mol10,rec_16_mol10.sdf,rec_final_16-noH.pdb,26.9687
mol10,rec_7_mol10.sdf,rec_final_7-noH.pdb,26.6825
mol10,rec_8_mol10.sdf,rec_final_8-noH.pdb,26.3779
mol10,rec_2_mol10.sdf,rec_final_2-noH.pdb,25.8933
mol10,rec_11_mol10.sdf,rec_final_11-noH.pdb,25.8325
mol10,rec_17_mol10.sdf,rec_final_17-noH.pdb,25.5972
mol10,rec_3_mol10.sdf,rec_final_3-noH.pdb,25.5951
mol10,rec_13_mol10.sdf,rec_final_13-noH.pdb,25.0882
mol10,rec_15_mol10.sdf,rec_final_15-noH.pdb,25.0305
mol10,rec_14_mol10.sdf,rec_final_14-noH.pdb,24.9954
mol10,rec_19_mol10.sdf,rec_final_19-noH.pdb,24.9413
mol10,rec_9_mol10.sdf,rec_final_9-noH.pdb,24.4834
mol10,rec_20_mol10.sdf,rec_final_20-noH.pdb,22.5738
mol10,rec_6_mol10.sdf,rec_final_6-noH.pdb,19.6994
mol10,rec_4_mol10.sdf,rec_final_4-noH.pdb,19.6571
mol10,rec_10_mol10.sdf,rec_final_10-noH.pdb,19.3863
mol10,rec_18_mol10.sdf,rec_final_18-noH.pdb,19.0287
mol10,rec_5_mol10.sdf,rec_final_5-noH.pdb,18.8032
mol10,rec_1_mol10.sdf,rec_final_1-noH.pdb,18.2713
mol10,rec_12_mol10.sdf,rec_final_12-noH.pdb,17.0459
mol11,rec_11_mol11.sdf,rec_final_11-noH.pdb,22.7140
mol11,rec_9_mol11.sdf,rec_final_9-noH.pdb,21.8714
mol11,rec_5_mol11.sdf,rec_final_5-noH.pdb,21.5305
mol11,rec_7_mol11.sdf,rec_final_7-noH.pdb,20.8997
mol11,rec_13_mol11.sdf,rec_final_13-noH.pdb,20.7739
