mol_id,ligand,receptor,score
mol10,rec_14_mol10.sdf,rec_final_14-noH.pdb,20.0800
mol10,rec_6_mol10.sdf,rec_final_6-noH.pdb,19.9665
mol10,rec_19_mol10.sdf,rec_final_19-noH.pdb,19.9489
mol10,rec_15_mol10.sdf,rec_final_15-noH.pdb,19.6286
mol10,rec_1_mol10.sdf,rec_final_1-noH.pdb,19.2134
mol10,rec_11_mol10.sdf,rec_final_11-noH.pdb,19.1775
mol10,rec_7_mol10.sdf,rec_final_7-noH.pdb,18.5204
mol11,rec_14_mol11.sdf,rec_final_14-noH.pdb,18.3299
mol11,rec_12_mol11.sdf,rec_final_12-noH.pdb,18.2064
mol11,rec_11_mol11.sdf,rec_final_11-noH.pdb,17.7869
mol11,rec_2_mol11.sdf,rec_final_2-noH.pdb,17.5975
mol11,rec_6_mol11.sdf,rec_final_6-noH.pdb,17.5693
mol11,rec_5_mol11.sdf,rec_final_5-noH.pdb,17.2830
mol11,rec_16_mol11.sdf,rec_final_16-noH.pdb,17.1953
mol11,rec_4_mol11.sdf,rec_final_4-noH.pdb,16.9403
mol11,rec_20_mol11.sdf,rec_final_20-noH.pdb,16.6659
mol11,rec_15_mol11.sdf,rec_final_15-noH.pdb,15.5942
mol11,rec_19_mol11.sdf,rec_final_19-noH.pdb,15.1668
mol11,rec_18_mol11.sdf,rec_final_18-noH.pdb,13.2944
mol11,rec_13_mol11.sdf,rec_final_13-noH.pdb,12.0277
mol11,rec_9_mol11.sdf,rec_final_9-noH.pdb,11.7622
mol11,rec_7_mol11.sdf,rec_final_7-noH.pdb,11.4968
mol12,rec_18_mol12.sdf,rec_final_18-noH.pdb,14.6144
mol12,rec_5_mol12.sdf,rec_final_5-noH.pdb,14.2794
mol12,rec_20_mol12.sdf,rec_final_20-noH.pdb,13.8924
mol12,rec_19_mol12.sdf,rec_final_19-noH.pdb,13.8635
mol12,rec_6_mol12.sdf,rec_final_6-noH.pdb,13.6032
mol12,rec_16_mol12.sdf,rec_final_16-noH.pdb,12.3714
mol12,rec_7_mol12.sdf,rec_final_7-noH.pdb,12.2192
mol12,rec_4_mol12.sdf,rec_final_4-noH.pdb,12.1729
mol12,rec_14_mol12.sdf,rec_final_14-noH.pdb,12.0622
mol12,rec_11_mol12.sdf,rec_final_11-noH.pdb,12.0348
mol12,rec_13_mol12.sdf,rec_final_13-noH.pdb,11.3689
mol12,rec_2_mol12.sdf,rec_final_2-noH.pdb,11.3522
mol12,rec_15_mol12.sdf,rec_final_15-noH.pdb,11.1804
mol12,rec_12_mol12.sdf,rec_final_12-noH.pdb,10.9075
mol12,rec_9_mol12.sdf,rec_final_9-noH.pdb,10.8007
mol13,rec_14_mol13.sdf,rec_final_14-noH.pdb,24.1329
mol13,rec_2_mol13.sdf,rec_final_2-noH.pdb,24.0952
mol13,rec_20_mol13.sdf,rec_final_20-noH.pdb,24.0199
